,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,
"Table Title: Singapore Residents By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 27/09/2022,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number
  80 - 84 Years,5247,5254,5131,5012,5087,4842,4386,4073,3865,3816
  85 - 89 Years,2961,2645,2398,2271,2226,2163,2060,1841,1720,1580
  65 Years & Over,56100,52427,48741,45626,42924,40601,38230,36050,33938,31643
  70 Years & Over,31734,29656,27819,25996,24057,23470,23286,22504,22215,21937
  75 Years & Over,16460,16392,15808,15611,15486,15003,14445,13775,13319,13034
  80 Years & Over,9445,9067,8615,8278,8211,7885,7245,6678,6277,5983
  85 Years & Over,4198,3813,3484,3266,3124,3043,2859,2605,2412,2167
  90 Years & Over,1237,1168,1086,995,898,880,799,764,692,587
Total Male Malays,271332,268933,266486,263912,261564,259108,257036,255176,253578,252227
  0 - 4 Years,19848,19182,18624,17790,16992,16276,15869,15676,15748,16114
  5 - 9 Years,16472,16108,15878,15933,16267,16575,16864,17088,17513,18163
  10 - 14 Years,16655,16929,17117,17508,18121,19016,19789,20785,21549,22084
  15 - 19 Years,19135,19957,20922,21672,22160,22504,23006,23602,24174,24543
  20 - 24 Years,22587,23088,23682,24219,24538,25006,25206,24908,24461,23646
  25 - 29 Years,24997,25200,24921,24437,23559,22571,21596,20621,19973,19574
  30 - 34 Years,22569,21636,20661,19997,19575,18850,17966,17004,15921,15047
  35 - 39 Years,18808,17940,16955,15830,14936,14181,14083,14338,15044,15622
  40 - 44 Years,13994,13932,14169,14813,15354,15801,15803,16122,16509,17353
  45 - 49 Years,15502,15500,15807,16143,16950,18047,19363,20747,21457,21931
  50 - 54 Years,17630,18921,20212,20859,21342,21406,21462,21006,20539,19790
  55 - 59 Years,20654,20697,20185,19777,18982,18189,17271,16523,15489,14444
  60 - 64 Years,17180,16279,15577,14604,13619,12584,11686,10661,10038,9813
  65 - 69 Years,11546,10730,9762,9132,8838,8046,7044,6380,5477,4418
  70 - 74 Years,7014,6096,5518,4734,3806,3721,3883,3815,3923,4064
  75 - 79 Years,2970,3116,3023,3110,3217,3126,3132,3049,3020,2918
  80 - 84 Years,2192,2166,2107,2031,1992,1906,1754,1678,1636,1674
  85 - 89 Years,1095,972,914,897,915,931,904,831,798,749
  65 Years & Over,25301,23564,21776,20330,19169,18102,17072,16095,15163,14103
  70 Years & Over,13755,12834,12014,11198,10331,10056,10028,9715,9686,9685
  75 Years & Over,6741,6738,6496,6464,6525,6335,6145,5900,5763,5621
  80 Years & Over,3771,3622,3473,3354,3308,3209,3013,2851,2743,2703
  85 Years & Over,1579,1456,1366,1323,1316,1303,1259,1173,1107,1029
  90 Years & Over,484,484,452,426,401,372,355,342,309,280
Total Female Malays,274166,271850,269338,266798,264324,261815,259621,257661,255941,254410
  0 - 4 Years,18820,18192,17545,16771,16096,15415,15030,14911,15120,15282
  5 - 9 Years,15598,15231,15052,15279,15439,15784,15973,16291,16556,17147
  10 - 14 Years,15817,16037,16321,16571,17146,17748,18606,19117,19967,20523
  15 - 19 Years,17883,18746,19248,20063,20590,21080,21418,22165,22547,23170
  20 - 24 Years,21226,21587,22304,22669,23260,23584,23959,23770,23363,22596
  25 - 29 Years,23671,24043,23875,23510,22680,21895,21001,20183,19663,19155
  30 - 34 Years,22045,21219,20443,19930,19368,18860,18019,17416,16620,15996
  35 - 39 Years,18911,18139,17557,16674,16003,15401,15347,15492,15996,16564
  40 - 44 Years,15288,15267,15374,15805,16347,16742,16833,17201,17540,18384
  45 - 49 Years,16508,16631,17014,17308,18106,19161,20424,21463,22195,22416
  50 - 54 Years,18799,20040,21023,21701,21870,21786,21576,21018,20462,19774
  55 - 59 Years,21158,20993,20452,19890,19136,18336,17548,16848,15968,15149
  60 - 64 Years,17643,16862,16165,15331,14528,13524,12729,11831,11169,10714
  65 - 69 Years,12820,12041,11160,10498,10029,9085,7900,7166,6246,5288
  70 - 74 Years,8260,7168,6493,5651,4765,4746,4958,4914,4973,4839
